repository,health_score,stars,forks,open_issues,language,total_contributors,total_commits,open_ratio,recent_issues_count,recent_issues_per_day,recent_resolution_rate,avg_comments_per_issue,commits_per_day,activity_ratio,time_window_days,core_contributors,contribution_gini
atom/atom,45,60563,17317,993,JavaScript,325,0,0.0,0,0.0,0.0,0.0,0.0,0.0,180,1,-0.08057056992462258
neovim/neovim,85,91379,6207,1970,Vim Script,435,1687,0.64,25,0.1388888888888889,0.36,3.0,9.372222222222222,1.1277777777777778,180,2,-0.10670817952500657
flutter/flutter,85,171521,28896,12048,Dart,383,2000,0.5106382978723404,47,0.2611111111111111,0.48936170212765956,1.7659574468085106,11.11111111111111,0.7333333333333333,180,2,-0.1511938589350238
facebook/react-native,85,123155,24768,1054,C++,308,2000,0.6470588235294118,17,0.09444444444444444,0.35294117647058826,4.176470588235294,11.11111111111111,0.6,180,0,-0.2785106568117367
ionic-team/ionic-framework,85,51918,13439,585,TypeScript,395,196,0.7586206896551724,29,0.16111111111111112,0.2413793103448276,1.3448275862068966,1.0888888888888888,0.3611111111111111,180,4,-0.06700912464289445
jupyter/notebook,80,12439,5310,1970,Jupyter Notebook,370,43,0.2777777777777778,36,0.2,0.7222222222222222,3.0555555555555554,0.2388888888888889,0.15555555555555556,180,4,-0.09275972843322268
plotly/plotly.js,85,17749,1915,723,JavaScript,238,446,0.7666666666666667,60,0.3333333333333333,0.23333333333333334,1.5166666666666666,2.477777777777778,0.45555555555555555,180,3,-0.08520351287077833
apache/superset,85,67270,15383,769,TypeScript,424,821,0.5,24,0.13333333333333333,0.5,2.7916666666666665,4.561111111111111,0.8222222222222222,180,1,-0.1433652324455563
rust-lang/rust,75,105288,13579,11426,Rust,450,2000,1.0,23,0.12777777777777777,0.0,0.782608695652174,11.11111111111111,0.45,180,1,-0.2398599649461415
denoland/deno,85,103684,5656,2325,Rust,426,1019,0.6851851851851852,54,0.3,0.3148148148148148,1.4444444444444444,5.661111111111111,0.8611111111111112,180,3,-0.12204142326753752
octocat/Hello-World,50,3040,3275,1793,,3,0,0.8648648648648649,37,0.20555555555555555,0.13513513513513514,0.21621621621621623,0.0,0.0,180,3,-1.5555555555555556
github/docs,85,17620,62545,68,TypeScript,431,2000,0.2903225806451613,31,0.17222222222222222,0.7096774193548387,1.5806451612903225,11.11111111111111,0.5777777777777777,180,2,-0.11142239595619967
